Event Number,HT,MET,MR,Rsq,Invariant Mass,Sum E_T,Centrality,Sphericity,Aplanarity,Cos(Theta) Jet-MET,Delta R (Avg),Jet Multiplicity,Lepton Multiplicity,Lepton Isolated Count,Lepton Avg Isolation,Photon Isolated Count,Photon Avg Isolation,Dark Photon Produced
0,52.63588170904697,0.0,13999.999999866504,0.0,13999.999999866504,52.63588170904697,0.0037597058363963484,18.05330958697222,7.261883203880355,0.0,5.993297325902012,61,0,0,0.0,34,4.581974823586567,False
1,27.352368735044553,0.0,13999.999999999995,0.0,13999.999999999995,27.352368735044553,0.0019537406239317546,25.747816558819096,10.048131605125358,0.0,5.444291379058343,38,0,0,0.0,36,2.402824484790351,False
2,356.12323947065516,0.0,14000.000000707656,0.0,14000.000000707656,356.12323947065516,0.025437374246618162,209.20007632447317,97.64765465856001,0.0,4.587345164205102,351,0,0,0.0,15,23.561580790749524,False
3,213.93449273933987,0.2674457586767602,13959.135085590236,1.1745175158838762e-06,13959.135083028214,213.93449273933987,0.01532570445304276,115.60944755965713,53.161759304559126,0.3471417719817245,5.041680125456163,219,0,0,0.0,28,11.486511386036211,False
4,48.841930627503174,0.0,13999.99999999994,0.0,13999.99999999994,48.841930627503174,0.003488709330535956,19.768248387648974,3.767498685411286,0.0,5.378531560425859,70,0,0,0.0,23,2.8234761451420702,False
5,44.790739923728225,0.0,14000.000000019665,0.0,14000.000000019665,44.790739923728225,0.0031993385659760936,35.74690749393538,16.324197197549054,0.0,5.220668124350001,78,0,0,0.0,37,4.427331757685333,False
6,22.519174014039063,0.0,14000.000000000005,0.0,14000.000000000005,22.519174014039063,0.001608512429574218,11.678966464483539,3.4964591083156407,0.0,6.335116203649917,39,0,0,0.0,26,0.6151153837998381,False
7,55.88107712319926,0.0,13999.99999999987,0.0,13999.99999999987,55.88107712319926,0.003991505508799984,32.40006107564976,11.695125624806959,0.0,5.775149121159339,63,0,0,0.0,28,3.098144419666591,False
8,84.6129089288649,0.0,13999.999998640486,0.0,13999.999998640486,84.6129089288649,0.006043779209791536,50.618453777219834,24.44053792713658,0.0,4.91975623980487,105,0,0,0.0,27,9.532186387246062,False
9,161.14415840896388,0.0,13999.999999937949,0.0,13999.999999937949,161.14415840896388,0.011510297029262722,90.01495348497522,40.09336121968069,0.0,5.100645132822481,191,0,0,0.0,19,21.505268246988095,False
10,67.98778641658917,0.0,14000.000000000005,0.0,14000.000000000005,67.98778641658917,0.004856270458327796,45.26733395652819,18.494857025521036,0.0,5.5153650205498135,103,0,0,0.0,38,5.853939206444374,False
11,44.77511746240627,0.0,14000.000000002869,0.0,14000.000000002869,44.77511746240627,0.003198222675885507,25.763383258783854,8.319320314108504,0.0,5.876189974377695,70,0,0,0.0,37,2.4285227168189216,False
12,76.19802839759168,0.0,14000.000000261882,0.0,14000.000000261882,76.19802839759168,0.005442716314011881,42.36903823136071,17.318173391794073,0.0,5.545769191658347,119,2,0,15.598005876812046,29,5.445794228077095,False
13,45.52711581256188,0.0,14000.0,0.0,14000.0,45.52711581256188,0.00325193684375442,21.692376115507784,9.923934522139184,0.0,5.668306189344105,63,4,0,3.5209662293349595,38,2.119193649039118,False
14,110.28084497354384,0.5270349935401514,13999.431897217159,1.1862567700597227e-06,13999.431887296547,110.28084497354384,0.007877522871682564,99.75270036874988,44.79443235668242,-0.8604366763878544,4.889264464529082,135,2,0,35.280749564532,28,6.7534224127894475,False
15,21.627198658367025,0.0,14000.000001077957,0.0,14000.000001077957,21.627198658367025,0.0015447999040501283,6.59522036053805,3.1050135267455694,0.0,6.461329322658854,43,0,0,0.0,23,1.3814720890826169,False
16,54.13879991716825,0.0,14000.00000000574,0.0,14000.00000000574,54.13879991716825,0.0038670571369390037,38.66197645228276,12.232064421432863,0.0,5.546749187399564,82,0,0,0.0,31,4.589478884395347,False
17,25.34010028778908,0.0,13999.999999999276,0.0,13999.999999999276,25.34010028778908,0.0018100071634135995,18.4819476145031,8.731707631466653,0.0,6.736895245047804,45,0,0,0.0,33,0.854963476652397,False
18,59.15735822483574,0.0,13999.99999969632,0.0,13999.99999969632,59.15735822483574,0.004225525587579925,26.490151000133128,10.901652150214067,0.0,5.469467104263002,88,0,0,0.0,24,4.1945528911922585,False
19,183.4258721510162,0.0,13999.999999948042,0.0,13999.999999948042,183.4258721510162,0.013101848010835495,75.35438325624676,35.49335960818934,0.0,5.171156561654843,182,0,0,0.0,29,12.74479382243611,False
20,189.9497591630912,0.0,14000.000000006872,0.0,14000.000000006872,189.9497591630912,0.013567839940214139,86.71071881141279,40.64312258640477,0.0,5.161209716459717,199,0,0,0.0,18,13.869834917236174,False
21,63.82122403670006,0.0,13999.999999999984,0.0,13999.999999999984,63.82122403670006,0.0045586588597642955,49.207562201657424,22.210393148174752,0.0,5.112836225209956,91,0,0,0.0,32,9.822686563025318,False
22,82.47431887863941,0.0,14000.000000111382,0.0,14000.000000111382,82.47431887863941,0.005891022776998804,43.027668209871194,19.614001658794002,0.0,5.496137188712798,109,0,0,0.0,26,7.196175937116659,False
23,139.21894109886895,0.0,14000.000008653116,0.0,14000.000008653116,139.21894109886895,0.009944210072344325,89.66536508862893,37.70306047830083,0.0,4.985649791557078,176,6,0,6.221424160877781,24,7.085683105030831,False
24,30.87969565494755,0.0,13999.999999999985,0.0,13999.999999999985,30.87969565494755,0.0022056925467819704,11.540822715726922,5.026792856356267,0.0,6.153069600124267,54,0,0,0.0,26,0.8138624800178409,False
25,21.529779074462006,0.0,13999.999999990769,0.0,13999.999999990769,21.529779074462006,0.0015378413624625858,14.46682891503729,6.525762163221778,0.0,6.224576859977462,40,0,0,0.0,28,1.511188266312273,False
26,77.1755937577486,0.0,13999.999998583506,0.0,13999.999998583506,77.1755937577486,0.0055125424118255065,27.632856677495546,11.39195931092392,0.0,5.839861792693221,103,2,0,8.913235689047324,19,6.939668524011419,False
27,36.59486898835624,0.0,14000.000000101965,0.0,14000.000000101965,36.59486898835624,0.0026139192134349795,27.54128768677484,13.100001325551379,0.0,5.675600953844635,44,0,0,0.0,41,1.4448215954318098,False
28,68.32496378883897,0.0,14000.00000001673,0.0,14000.00000001673,68.32496378883897,0.004880354556339809,50.35408532875392,20.947632926147797,0.0,4.856044944854771,102,2,0,10.87529012354244,24,5.869842672120608,False
29,67.18279594820763,0.0,13999.99999997228,0.0,13999.99999997228,67.18279594820763,0.004798771139167189,33.936617668758345,15.341622366776468,0.0,5.525871837659062,105,0,0,0.0,28,9.683135786505659,False
30,25.02262259564134,0.0,13999.999999999993,0.0,13999.999999999993,25.02262259564134,0.0017873301854029538,12.374361720518035,5.335556561846994,0.0,6.429369724205023,36,0,0,0.0,33,0.9755391263991982,False
31,185.6192316813163,0.0,13999.999999999738,0.0,13999.999999999738,185.6192316813163,0.0132585165486657,121.3894124655252,54.90634892578615,0.0,5.073980717880862,234,0,0,0.0,22,11.675643497551672,False
